Mnemonic:,XMBASDRF.IUSA,XMBASDRV.IUSA,XMBASDRC.IUSA,XMBASDR.IUSA,LBR.IUSA,YPQ.IUSA,GDPQ.IUSA,XHOWNRQ.IUSA,XHOFHOPIQ.IUSA
Description:,"MBA NDS: Seriously delinquent rate - FHA loans - As percent of loans serviced, (%, NSA)","MBA NDS: Seriously delinquent rate - VA loans - As percent of loans serviced, (%, NSA)","MBA NDS: Seriously delinquent rate - Conventional loans - As percent of loans serviced, (%, NSA)","MBA NDS: Seriously delinquent rate - All loans - As percent of loans serviced, (%, NSA)","Unemployment rate: Total, (%, SA)","Income: Total personal, (Mil. USD, SAAR)","Gross domestic product: All industry total, (Mil. USD, SAAR)","Real estate: Homeownership rate, (%, NSA)","FHFA House Price Index: Single-family properties - All transactions, (Index 1980Q1=100, NSA)"
Source:,Mortgage Bankers Association (MBA): National Delinquency Survey,Mortgage Bankers Association (MBA): National Delinquency Survey,Mortgage Bankers Association (MBA): National Delinquency Survey,Mortgage Bankers Association (MBA): National Delinquency Survey,U.S. Bureau of Labor Statistics (BLS): Current Population Survey (CPS) [Household Survey - LNS14000000],U.S. Bureau of Economic Analysis (BEA): Quarterly Personal Income - Table 05 [NAICS],U.S. Bureau of Economic Analysis (BEA): Quarterly Gross Domestic Product by State [NAICS 2012],U.S. Census Bureau (BOC): Table 7,U.S. Federal Housing Finance Agency (FHFA): House Price Index Datasets - All-Transactions Indexes
Native Frequency:,QUARTERLY,QUARTERLY,QUARTERLY,QUARTERLY,MONTHLY,QUARTERLY,QUARTERLY,QUARTERLY,QUARTERLY
Geography:,United States,United States,United States,United States,United States,United States,United States,United States,United States
3/31/2005,5.15,2.87,1.5,1.89,5.3,10333975.84,12761337,69.1,331.85
6/30/2005,5.07,2.75,1.47,1.83,5.1,10501549.51,12910022,68.6,342.45
9/30/2005,5.4,2.82,1.45,1.82,4.97,10657963.28,13142873,68.8,352.79
12/31/2005,6.13,2.93,1.68,2.08,4.97,10882295.36,13332316,69,360.78
3/31/2006,5.48,2.74,1.59,1.93,4.73,11182385.32,13603933,68.5,366.49
6/30/2006,5.4,2.53,1.57,1.89,4.63,11315347.26,13749806,68.7,370.24
9/30/2006,5.66,2.64,1.69,2,4.63,11419201.77,13867469,69,373.28
12/31/2006,5.78,2.65,1.91,2.21,4.43,11573421.65,14037228,68.9,377.11
3/31/2007,5.26,2.45,1.99,2.23,4.5,11830734.85,14208569,68.4,378.52
6/30/2007,5.18,2.35,2.27,2.47,4.5,11972482.75,14382363,68.2,378.26
9/30/2007,5.54,2.56,2.76,2.95,4.67,12043051.09,14535003,68.2,374.01
12/31/2007,6,2.83,3.46,3.62,4.8,12162547.31,14681501,67.8,372.83
3/31/2008,5.59,2.88,3.94,4.03,5,12314008.54,14651039,67.8,370.11
6/30/2008,5.43,3,4.46,4.5,5.33,12639164.33,14805611,68.1,360.74
9/30/2008,6.05,3.45,5.13,5.17,6,12461684.28,14835187,67.9,349.37
12/31/2008,6.98,4.12,6.29,6.3,6.87,12339250.85,14559543,67.5,346.13
3/31/2009,7.37,4.42,7.3,7.24,8.27,11984221.99,14394547,67.3,348.69
6/30/2009,7.78,4.69,8.1,7.97,9.3,12074283.98,14352850,67.4,339.48
9/30/2009,8.67,5.06,9,8.85,9.63,12028785.52,14420312,67.6,330.55
12/31/2009,9.42,5.42,9.83,9.67,9.93,12117936.51,14628021,67.2,328.04
3/31/2010,9.1,5.29,9.74,9.54,9.83,12264621.9,14721350,67.1,324.1
6/30/2010,8.45,5.03,9.35,9.11,9.63,12484065.47,14926098,66.9,321.18
9/30/2010,8.25,4.83,8.91,8.7,9.47,12628031.09,15079917,66.9,324.24
12/31/2010,8.46,4.83,8.76,8.6,9.5,12791261.54,15240843,66.5,321.89
3/31/2011,8.04,4.52,8.25,8.1,9.03,13150022.1,15285828,66.4,313.01
6/30/2011,7.88,4.45,7.97,7.85,9.07,13256612.95,15496189,65.9,307.56
9/30/2011,8.39,4.63,7.92,7.89,9,13390030.5,15591850,66.3,309.81
12/31/2011,9.02,4.84,7.61,7.73,8.63,13465246.45,15796460,66,311.18
3/31/2012,8.98,4.74,7.26,7.44,8.27,13781307.74,16019758,65.4,307.88
6/30/2012,9,4.63,7.08,7.31,8.2,13937514.89,16152257,65.5,306.58
9/30/2012,8.54,4.44,6.84,7.03,8.03,13899403.01,16257151,65.5,310.54
12/31/2012,8.54,4.43,6.54,6.78,7.8,14375306.35,16358863,65.4,313.02
3/31/2013,7.99,4.15,6.15,6.39,7.73,13991223.62,16569591,65,314.65
6/30/2013,7.57,3.93,5.6,5.88,7.53,14131114.86,16637926,65,319.55
9/30/2013,7.24,3.8,5.39,5.65,7.23,14228839.47,16848748,65.3,324.51
12/31/2013,7.28,3.76,5.07,5.41,6.93,14350834.05,17083137,65.2,327.16
3/31/2014,6.65,3.55,4.77,5.04,6.67,14628793.87,17104555,64.8,330.04
6/30/2014,6.22,3.41,4.57,4.8,6.2,14882516.62,17432909,64.7,336.34
