Mnemonic:,FLBR.IUSA,FYPQ.IUSA,FGDP.IUSA,FXHOFHOPIQ.IUSA
Description:,"Baseline Scenario (May 2020): Household Survey: Unemployment Rate, (%, SA)","Baseline Scenario (May 2020): Income: Personal - Total, (Mil. USD, SAAR)","Baseline Scenario (May 2020): NIPA: Gross Domestic Product, (Mil. USD, SAAR)","Baseline Scenario (May 2020): FHFA All Transactions Home Price Index, (Index 1980Q1=100, NSA)"
Source:,U.S. Bureau of Labor Statistics (BLS): Current Population Survey (CPS); Moody's Analytics Forecasted,U.S. Bureau of Economic Analysis (BEA); Moody's Analytics Forecasted,U.S. Bureau of Economic Analysis (BEA); Moody's Analytics Forecasted,U.S. Federal Housing Finance Agency (FHFA); Freddie Mac; Fannie Mae; Moody's Analytics Forecasted
Native Frequency:,QUARTERLY,QUARTERLY,QUARTERLY,QUARTERLY
Geography:,United States,United States,United States,United States
2019-12-31,3.53,18821019,21729124,451.65
2020-03-31,3.83,18916176,21537940,457.01
2020-06-30,15,18116793.12,19610550.28,459.23
2020-09-30,8.36,18565417.65,20251867.22,458.3
2020-12-31,8.98,18524414.87,20333678.73,453.92
2021-03-31,9.25,18537640.05,20444872.37,450.36
2021-06-30,9.28,18638638.56,20637293.19,448.13
2021-09-30,9.02,18868198.03,21096895.76,446.35
2021-12-31,8.54,19094191.81,21608016.16,445.77
2022-03-31,7.96,19388165.97,22099994.34,448.04
2022-06-30,7.26,19683316.63,22569634.6,452.28
2022-09-30,6.6,19996316.68,23036902.03,457.51
2022-12-31,5.96,20293345.16,23468926.53,462.89
2023-03-31,5.49,20592449.3,23860847.63,469.68
2023-06-30,5.18,20898347.96,24229372.28,476.19
2023-09-30,4.96,21193101.77,24569963.73,481.77
2023-12-31,4.83,21476324.14,24880928.3,485.26
2024-03-31,4.77,21748345.03,25171628.86,489.48
2024-06-30,4.74,22000069.46,25443065.11,494.03
2024-09-30,4.76,22231033.25,25694443.09,498.4
2024-12-31,4.79,22462498.94,25944492.51,502.52
2025-03-31,4.81,22695735.2,26197412.73,508.01
2025-06-30,4.83,22937497.14,26451037.63,513.88
2025-09-30,4.84,23186025.33,26707537.83,519.71
2025-12-31,4.87,23438868.2,26967293.07,525.13
2026-03-31,4.89,23685238,27225691.74,531.85
2026-06-30,4.92,23945940.88,27490200.84,538.95
2026-09-30,4.94,24208683.23,27757290.62,545.93
2026-12-31,4.96,24481405.88,28030369,552.39
2027-03-31,4.97,24765573.57,28312134.14,560.13
2027-06-30,4.97,25056758.82,28606622.06,568.13
2027-09-30,4.98,25355423.73,28909334.99,575.87
2027-12-31,4.97,25659211.8,29212721.71,582.86
2028-03-31,4.98,25967922.15,29516464.96,590.96
2028-06-30,4.99,26270771.05,29820976.14,599.21
2028-09-30,4.97,26572333.79,30130182.64,607.01
2028-12-31,4.95,26875689.38,30436060.38,613.92
2029-03-31,4.93,27184290.77,30747595.33,621.98
2029-06-30,4.88,27495266.87,31059784.19,630.11
2029-09-30,4.86,27808273.08,31372186.81,637.66
2029-12-31,4.83,28123703.66,31687963.33,644.15
2030-03-31,4.82,28439586.52,32007867.69,651.78
2030-06-30,4.8,28757542.94,32331819.8,659.32
2030-09-30,4.79,29079175.27,32658898.17,666.19
2030-12-31,4.78,29407292.88,32988652.59,671.86
2031-03-31,4.77,29737541.62,33318360.39,678.68
2031-06-30,4.76,30069872.42,33652800.28,685.43
